SIGN,LOVE - WORDS,LOVE LANGUAGE,CAREER - CHARACTERISTICS,CAREER - SECTOR,CAREER - JOBS,MYSELF - TRAITS,MYSELF - CHALLENGES,MYSELF - TYPE,MYSELF - RULING PLANET,MYSELF - GEMSTONES,MYSELF - FULL MOON,MYSELF - YEAR OF THE DRAGON,COMPATIBILITY
Cancer Wood Rat,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Rat: Kind, Charming, Devoted, Expressive",Cancer: Quality Time - Wood Rat: Words of Affirmation,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Rat: Hardworking, Innovative, Versatile, Ambitious","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Rat: Finance and Banking, Sales and Negotiation, Entrepreneurship","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Rat: Entrepreneur, Investor, Salesperson, Writer","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Rat: Anxious, Alert, Sociable, Agile","Cancer: Nurturing, protective, nostalgic - Wood Rat: Resourceful, adaptable, opportunistic, cunning",Cancer: Introvert - Wood Rat: Ambivert,Cancer: The Moon - Wood Rat: Jupiter,"Cancer: Moonstone, Ruby - Wood Rat: Garnet, Obsidian","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Rat: Resourceful, adaptable, potential for restlessness","Cancer: Emotional depth, transformation, intuition - Wood Rat: Ambitious, opportunistic, potential for success.","Cancer: Scorpio, Pisces - Wood Rat: Water Dragon, Water Monkey, Fire Dragon, Fire Monkey"
Cancer Wood Ox,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Ox: Honest, Dependable, Grounded, Supportive",Cancer: Quality Time - Wood Ox: Acts of Service,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Ox: Diligent, Consistent, Methodical, Enduring","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Ox: Business and Finance, Education and Teaching, Engineering and Architecture, Law and Legal Services","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Ox: Farmer, Engineer, Chef, Banker","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Ox: Strong, Patient, Persistent, Stable","Cancer: Nurturing, protective, nostalgic - Wood Ox: Determined, reliable, traditional, stubborn",Cancer: Introvert - Wood Ox: Extrovert,Cancer: The Moon - Wood Ox: Saturn,"Cancer: Moonstone, Ruby - Wood Ox: Aquamarine, Lapis Lazuli","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Ox: Determined, reliable, desire for stability","Cancer: Emotional depth, transformation, intuition - Wood Ox: Determined, steady progress, potential for breakthroughs","Cancer: Scorpio, Pisces - Wood Ox: Water Snake, Water Rooster, Fire Snake, Fire Rooster"
Cancer Wood Tiger,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Tiger: Passionate, Protective, Loyal, Affectionate",Cancer: Quality Time - Wood Tiger: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Tiger: Dynamic, Ambitious, Assertive, Competitive","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Tiger: Hospitality and Tourism, Military and Defense, Athletics and Sports, Law Enforcement","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Tiger: Military Officer, Athlete, Artist, Entrepreneur","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Tiger: Adventurous, Energetic, Courageous, Optimistic","Cancer: Nurturing, protective, nostalgic - Wood Tiger: Courageous, confident, assertive, reckless",Cancer: Introvert - Wood Tiger: Extrovert,Cancer: The Moon - Wood Tiger: Uranus,"Cancer: Moonstone, Ruby - Wood Tiger: Sapphire, Jade","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Tiger: Courageous, passionate, possible impulsiveness","Cancer: Emotional depth, transformation, intuition - Wood Tiger: Confidence, courage, opportunities for leadership","Cancer: Scorpio, Pisces - Wood Tiger: Water Dog, Water Horse, Fire Dog, Fire Horse"
Cancer Wood Hare,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Hare: Caring, Nurturing, Considerate, Peaceful",Cancer: Quality Time - Wood Hare: Quality Time,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Hare: Creative, Participative, Adaptable, Artistic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Hare: Social Services and Nonprofit Organizations, Healthcare and Medicine, Counseling and Therapy, Hospitality and Tourism","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Hare: Counselor, Social Worker, Teacher, Interior Designer","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Hare: Gentle, Caring, Diplomatic, Harmonious","Cancer: Nurturing, protective, nostalgic - Wood Hare: Gentle, diplomatic, cautious, escapist",Cancer: Introvert - Wood Hare: Introvert,Cancer: The Moon - Wood Hare: Neptune,"Cancer: Moonstone, Ruby - Wood Hare: Pearl, Turquoise","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Hare: Sensitive, intuitive, need for emotional balance","Cancer: Emotional depth, transformation, intuition - Wood Hare: Creativity, adaptability, potential for new beginnings","Cancer: Scorpio, Pisces - Wood Hare: Water Goat, Water Pig, Fire Goat, Fire Pig"
Cancer Wood Dragon,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Dragon: Big-hearted, Protective, Inspiring, Charismatic",Cancer: Quality Time - Wood Dragon: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Dragon: Innovative, Ambitious, Leadership-driven, Strategic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Dragon: Leadership and Management, Entrepreneurship, Entertainment and Creative Industries, Public Speaking","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Dragon: CEO, Politician, Actor/Actress, Entrepreneur","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Dragon: Charismatic, Visionary, Dynamic, Influential","Cancer: Nurturing, protective, nostalgic - Wood Dragon: Powerful, charismatic, visionary, egotistical",Cancer: Introvert - Wood Dragon: Extrovert,Cancer: The Moon - Wood Dragon: Mars,"Cancer: Moonstone, Ruby - Wood Dragon: Amethyst, Citrine","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Dragon: Charismatic, ambitious, potential for drama","Cancer: Emotional depth, transformation, intuition - Wood Dragon: Fortunate, energetic, potential for achievement and growth","Cancer: Scorpio, Pisces - Wood Dragon: Water Monkey, Water Rat, Fire Monkey, Fire Rat"
Cancer Wood Snake,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Snake: Persuasive, Independent, Aloof, Charismatic",Cancer: Quality Time - Wood Snake: Receiving gifts,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Snake: Strategic, Opportunistic, Shrewd, Enterprising","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Snake: Law and Legal Services, Psychology and Counseling, Investigation and Security","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Snake: Psychologist, Investigator, Healer, Researcher","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Snake: Cunning, Sly, Strategic, Calculating","Cancer: Nurturing, protective, nostalgic - Wood Snake: Wise, intuitive, secretive, suspicious",Cancer: Introvert - Wood Snake: Ambivert,Cancer: The Moon - Wood Snake: Venus,"Cancer: Moonstone, Ruby - Wood Snake: Opal, Auralite","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Snake: Wise, intuitive, inclination towards introspection","Cancer: Emotional depth, transformation, intuition - Wood Snake: Transformation, wisdom, potential for spiritual growth","Cancer: Scorpio, Pisces - Wood Snake: Water Ox, Water Rooster, Fire Ox, Fire Rooster"
Cancer Wood Horse,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Horse: Spontaneous, Passionate, Freedom-loving, Supportive",Cancer: Quality Time - Wood Horse: Quality Time,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Horse: Dynamic, Ambitious, Versatile, Courageous","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Horse: Travel and Tourism, Transportation and Logistics, Sports and Recreation, Business and Finance","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Horse: Travel Guide, Athlete, Sales Representative, Marketing Manager","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Horse: Spirited, Adventurous, Energetic, Independent","Cancer: Nurturing, protective, nostalgic - Wood Horse: Adventurous, independent, restless, impulsive",Cancer: Introvert - Wood Horse: Extrovert,Cancer: The Moon - Wood Horse: Mercury,"Cancer: Moonstone, Ruby - Wood Horse: Topaz, Carnelian","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Horse: Adventurous, energetic, desire for freedom","Cancer: Emotional depth, transformation, intuition - Wood Horse: Action-oriented, adventurous, potential for travel and exploration","Cancer: Scorpio, Pisces - Wood Horse: Water Tiger, Water Dog, Fire Tiger, Fire Dog"
Cancer Wood Goat,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Wood Goat: Affectionate, Understanding, Considerate, Harmonious",Cancer: Quality Time - Wood Goat: Words of Affirmation,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Wood Goat: Supportive, Nurturing, Collaborative, Artistic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Wood Goat: Arts and Creativity, Environmental Conservation, Social Services","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Wood Goat: Artist, Musician, Environmentalist, Social Worker","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Wood Goat: Gentle-hearted, Compassionate, Creative, Harmonious","Cancer: Nurturing, protective, nostalgic - Wood Goat: Creative, sensitive, passive, indecisive",Cancer: Introvert - Wood Goat: Introvert,Cancer: The Moon - Wood Goat: The Moon,"Cancer: Moonstone, Ruby - Wood Goat: Emerald, Rose Quartz","Cancer: Strong emotions, nurturing instincts, sensitivity - Wood Goat: Creative, compassionate, potential for indecision","Cancer: Emotional depth, transformation, intuition - Wood Goat: Harmony, prosperity, potential for creative endeavors","Cancer: Scorpio, Pisces - Wood Goat: Water Hare, Water Pig, Fire Hare, Fire Pig"
Cancer Fire Monkey,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Monkey: Daring, Electrifying, Charismatic, Unconventional",Cancer: Quality Time - Fire Monkey: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Monkey: Pioneering, Enterprising, Trailblazing, Entrepreneurial","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Monkey: Technology and Innovation, Entertainment and Media, Sales and Marketing","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Monkey: Inventor, Entertainer, Salesperson, Social Media Influencer","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Monkey: Effervescent, Mischievous, Ingenious, Erratic","Cancer: Nurturing, protective, nostalgic - Fire Monkey: Clever, sociable, mischievous, self-centered",Cancer: Introvert - Fire Monkey: Extrovert,Cancer: The Moon - Fire Monkey: The Sun,"Cancer: Moonstone, Ruby - Fire Monkey: Peridot, Pink Halite","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Monkey: Clever, playful, need for mental stimulation","Cancer: Emotional depth, transformation, intuition - Fire Monkey: Intelligence, innovation, potential for success in new ventures","Cancer: Scorpio, Pisces - Fire Monkey: Wood Dragon, Wood Rat, Earth Dragon, Earth Rat"
Cancer Fire Rooster,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Rooster: Discerning, Assertive, Distinguished, Elegant",Cancer: Quality Time - Fire Rooster: Acts of Service,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Rooster: Visionary, Strategic, Entrepreneurial, Resourceful","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Rooster: Law and Legal Services, Administration and Management, Entrepreneurship","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Rooster: Journalist, Lawyer, Fashion Designer, Financial Advisor","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Rooster: Flamboyant, Ostentatious, Confident, Discerning","Cancer: Nurturing, protective, nostalgic - Fire Rooster: Confident, organized, critical, attention-seeking",Cancer: Introvert - Fire Rooster: Ambivert,Cancer: The Moon - Fire Rooster: Mercury,"Cancer: Moonstone, Ruby - Fire Rooster: Citrine, Clear Quartz","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Rooster: Confident, organized, attention to detail","Cancer: Emotional depth, transformation, intuition - Fire Rooster: Confidence, organization, potential for recognition and advancement","Cancer: Scorpio, Pisces - Fire Rooster: Wood Ox, Wood Rooster, Earth Ox, Earth Rooster"
Cancer Fire Dog,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Dog: Trustworthy, Staunch, Devoted, Chivalrous",Cancer: Quality Time - Fire Dog: Quality Time,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Dog: Astute, Diligent, Resolute, Creative","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Dog: Law Enforcement and Security, Social Services, Animal Care and Welfare, Environmental Services and Sustainability","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Dog: Police Officer, Security Guard, Veterinarian, Therapist","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Dog: Tenacious, Loyal, Vigilant, Unpredictable","Cancer: Nurturing, protective, nostalgic - Fire Dog: Loyal, protective, trusting, judgmental",Cancer: Introvert - Fire Dog: Ambivert,Cancer: The Moon - Fire Dog: Venus,"Cancer: Moonstone, Ruby - Fire Dog: Diamond, Smoky Quartz","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Dog: Loyal, protective, potential for moodiness","Cancer: Emotional depth, transformation, intuition - Fire Dog: Loyalty, protection, potential for stability and security","Cancer: Scorpio, Pisces - Fire Dog: Wood Tiger, Wood Horse, Earth Tiger, Earth Horse"
Cancer Fire Pig,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Pig: Affable, Generous, Amiable, Hospitable",Cancer: Quality Time - Fire Pig: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Pig: Innovative, Enterprising, Visionary, Tenacious","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Pig: Food and Hospitality Industry, Healthcare and Wellness, Education and Training","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Pig: Chef, Nutritionist, Humanitarian Worker, Financial Advisor","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Pig: Eccentric, Magnanimous, Gregarious, Jovial","Cancer: Nurturing, protective, nostalgic - Fire Pig: Generous, kind-hearted, indulgent, naive",Cancer: Introvert - Fire Pig: Ambivert,Cancer: The Moon - Fire Pig: Pluto,"Cancer: Moonstone, Ruby - Fire Pig: Ruby, Hematite","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Pig: Generous, indulgent, desire for comfort and relaxation","Cancer: Emotional depth, transformation, intuition - Fire Pig: Abundance, indulgence, potential for financial gains and enjoyment","Cancer: Scorpio, Pisces - Fire Pig: Wood Hare, Wood Goat, Earth Hare, Earth Goat"
Cancer Fire Rat,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Rat: Persuasive, Cunning, Social, Outgoing",Cancer: Quality Time - Fire Rat: Words of Affirmation,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Rat: Shrewd, Opportunistic, Enterprising, Astute","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Rat: Finance and Banking, Sales and Negotiation, Entrepreneurship","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Rat: Entrepreneur, Investor, Salesperson, Writer","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Rat: Scheming, Perspicacious, Ingenious, Resourceful","Cancer: Nurturing, protective, nostalgic - Fire Rat: Resourceful, adaptable, opportunistic, cunning",Cancer: Introvert - Fire Rat: Extrovert,Cancer: The Moon - Fire Rat: Jupiter,"Cancer: Moonstone, Ruby - Fire Rat: Garnet, Obsidian","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Rat: Resourceful, adaptable, potential for restlessness","Cancer: Emotional depth, transformation, intuition - Fire Rat: Ambitious, opportunistic, potential for success.","Cancer: Scorpio, Pisces - Fire Rat: Wood Monkey, Wood Dragon, Earth Monkey, Earth Dragon"
Cancer Fire Ox,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Ox: Dependable, Devoted, Trustworthy, Reliable",Cancer: Quality Time - Fire Ox: Acts of Service,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Ox: Industrious, Unyielding, Determined, Steadfast","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Ox: Business and Finance, Education and Teaching, Engineering and Architecture, Law and Legal Services","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Ox: Farmer, Engineer, Chef, Banker","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Ox: Tenacious, Indomitable, Resolute, Stoic","Cancer: Nurturing, protective, nostalgic - Fire Ox: Determined, reliable, traditional, stubborn",Cancer: Introvert - Fire Ox: Extrovert,Cancer: The Moon - Fire Ox: Saturn,"Cancer: Moonstone, Ruby - Fire Ox: Aquamarine, Lapis Lazuli","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Ox: Determined, reliable, desire for stability","Cancer: Emotional depth, transformation, intuition - Fire Ox: Determined, steady progress, potential for breakthroughs","Cancer: Scorpio, Pisces - Fire Ox: Wood Rooster, Wood Snake, Earth Rooster, Earth Snake"
Cancer Fire Tiger,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Tiger: Intense, Passionate, Dynamic, Daring",Cancer: Quality Time - Fire Tiger: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Tiger: Trailblazing, Fearless, Imaginative, Unyielding","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Tiger: Hospitality and Tourism, Military and Defense, Athletics and Sports, Law Enforcement","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Tiger: Military Officer, Athlete, Artist, Entrepreneur","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Tiger: Fierce, Dauntless, Audacious, Impassioned","Cancer: Nurturing, protective, nostalgic - Fire Tiger: Courageous, confident, assertive, reckless",Cancer: Introvert - Fire Tiger: Extrovert,Cancer: The Moon - Fire Tiger: Uranus,"Cancer: Moonstone, Ruby - Fire Tiger: Sapphire, Jade","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Tiger: Courageous, passionate, possible impulsiveness","Cancer: Emotional depth, transformation, intuition - Fire Tiger: Confidence, courage, opportunities for leadership","Cancer: Scorpio, Pisces - Fire Tiger: Wood Horse, Wood Dog, Earth Horse, Earth Dog"
Cancer Fire Hare,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Hare: Enigmatic, Charming, Alluring, Captivating",Cancer: Quality Time - Fire Hare: Quality Time,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Hare: Innovative, Creative, Strategic, Dynamic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Hare: Social Services and Nonprofit Organizations, Healthcare and Medicine, Counseling and Therapy, Hospitality and Tourism","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Hare: Counselor, Social Worker, Teacher, Interior Designer","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Hare: Sprightly, Vivacious, Enchanting, Winsome","Cancer: Nurturing, protective, nostalgic - Fire Hare: Gentle, diplomatic, cautious, escapist",Cancer: Introvert - Fire Hare: Ambivert,Cancer: The Moon - Fire Hare: Neptune,"Cancer: Moonstone, Ruby - Fire Hare: Pearl, Turquoise","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Hare: Sensitive, intuitive, need for emotional balance","Cancer: Emotional depth, transformation, intuition - Fire Hare: Creativity, adaptability, potential for new beginnings","Cancer: Scorpio, Pisces - Fire Hare: Wood Goat, Wood Pig, Earth Goat, Earth Pig"
Cancer Fire Dragon,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Dragon: Magnetic, Compelling, Inspiring, Dominant",Cancer: Quality Time - Fire Dragon: Physical Touch,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Dragon: Influential, Visionary, Outgoing, Charismatic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Dragon: Leadership and Management, Entrepreneurship, Entertainment and Creative Industries, Public Speaking","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Dragon: CEO, Politician, Actor/Actress, Entrepreneur","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Dragon: Majestic, Commanding, Regal, Radiant","Cancer: Nurturing, protective, nostalgic - Fire Dragon: Powerful, charismatic, visionary, egotistical",Cancer: Introvert - Fire Dragon: Extrovert,Cancer: The Moon - Fire Dragon: Mars,"Cancer: Moonstone, Ruby - Fire Dragon: Amethyst, Citrine","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Dragon: Charismatic, ambitious, potential for drama","Cancer: Emotional depth, transformation, intuition - Fire Dragon: Fortunate, energetic, potential for achievement and growth","Cancer: Scorpio, Pisces - Fire Dragon: Wood Monkey, Wood Rat, Earth Monkey, Earth Rat"
Cancer Fire Snake,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Snake: Alluring, Mysterious, Intense, Captivating",Cancer: Quality Time - Fire Snake: Receiving gifts,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Snake: Strategic, Calculating, Persuasive, Ambitious","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Snake: Law and Legal Services, Psychology and Counseling, Investigation and Security","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Snake: Psychologist, Investigator, Healer, Researcher","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Snake: Enigmatic, Seductive, Hypnotic, Intriguing","Cancer: Nurturing, protective, nostalgic - Fire Snake: Wise, intuitive, secretive, suspicious",Cancer: Introvert - Fire Snake: Ambivert,Cancer: The Moon - Fire Snake: Venus,"Cancer: Moonstone, Ruby - Fire Snake: Opal, Auralite","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Snake: Wise, intuitive, inclination towards introspection","Cancer: Emotional depth, transformation, intuition - Fire Snake: Transformation, wisdom, potential for spiritual growth","Cancer: Scorpio, Pisces - Fire Snake: Wood Rooster, Wood Ox, Earth Rooster, Earth Ox"
Cancer Fire Horse,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Horse: Adventurous, Passionate, Impulsive, Spontaneous",Cancer: Quality Time - Fire Horse: Quality Time,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Horse: Enterprising, Tenacious, Dynamic, Unpredictable","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Horse: Travel and Tourism, Transportation and Logistics, Sports and Recreation, Business and Finance","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Horse: Travel Guide, Athlete, Sales Representative, Marketing Manager","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Horse: Spirited, Impetuous, Flamboyant, Irrepressible","Cancer: Nurturing, protective, nostalgic - Fire Horse: Adventurous, independent, restless, impulsive",Cancer: Introvert - Fire Horse: Extrovert,Cancer: The Moon - Fire Horse: Mercury,"Cancer: Moonstone, Ruby - Fire Horse: Topaz, Carnelian","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Horse: Adventurous, energetic, desire for freedom","Cancer: Emotional depth, transformation, intuition - Fire Horse: Action-oriented, adventurous, potential for travel and exploration","Cancer: Scorpio, Pisces - Fire Horse: Wood Tiger, Wood Dog, Earth Tiger, Earth Dog"
Cancer Fire Goat,"Cancer: Compassionate, Devoted, Sensitive, Romantic, Nurturing, Intuitive - Fire Goat: Captivating, Empowering, Intuitive, Harmonious",Cancer: Quality Time - Fire Goat: Words of Affirmation,"Cancer: Caring, Supportive, Creative, Tenacious, Empathic, Insightful, Team-nurturer - Fire Goat: Inspirational, Visionary, Creative, Empathetic","Cancer: Arts and Entertainment, Healthcare and Nursing, Hospitality and Tourism, Social Services - Fire Goat: Arts and Creativity, Environmental Conservation, Social Services","Cancer: Counselor, Social Worker, Nurse, Early Childhood Educator, Human Resources Manager, Home Decorator, Chef - Fire Goat: Artist, Musician, Environmentalist, Social Worker","Cancer: Nurturing, Intuitive, Emotional, Protective, Sympathetic, Tenacious - Fire Goat: Resplendent, Unpredictable, Enigmatic, Enchanting","Cancer: Nurturing, protective, nostalgic - Fire Goat: Creative, sensitive, passive, indecisive",Cancer: Introvert - Fire Goat: Ambivert,Cancer: The Moon - Fire Goat: The Moon,"Cancer: Moonstone, Ruby - Fire Goat: Emerald, Rose Quartz","Cancer: Strong emotions, nurturing instincts, sensitivity - Fire Goat: Creative, compassionate, potential for indecision","Cancer: Emotional depth, transformation, intuition - Fire Goat: Harmony, prosperity, potential for creative endeavors","Cancer: Scorpio, Pisces - Fire Goat: Wood Hare, Wood Pig, Earth Hare, Earth Pig"
